Gene ID,RE:SN12C,RE:A498,RE:CAKI-1,RE:ACHN,RE:UO-31,RE:786-0,RE:RXF-393,RE:TK-10,ME:M14,ME:UACC-257,ME:SK-MEL-28,ME:UACC-62,ME:LOXIMVI,ME:SK-MEL-2,ME:MALME-3M,ME:SK-MEL-5,LC:NCI-H522,LC:NCI-H23,PR:DU-145,CO:HT29,CO:SW-620,CO:HCT-15,CO:COLO205,CO:KM12,CO:HCC-2998,BR:T-47D,BR:MCF7,LC:NCI-H322M,CO:HCT-116,LE:SR,LE:RPMI-8226,LE:K-562,LE:HL-60,LE:MOLT-4,LE:CCRF-CEM,OV:IGROV1,OV:OVCAR-4,OV:OVCAR-3,PR:PC-3,OV:OVCAR-5,OV:SK-OV-3,BR:MDA-N,BR:MDA-MB-435,BR:MCF7/ADF-RES,OV:OVCAR-8,LC:NCI-H226,LC:HOP-62,CNS:U251,CNS:SNB-19,BR:BT-549,CNS:SF-268,CNS:SF-539,BR:HS578T,CNS:SNB-75,CNS:SF-295,LC:EKVX,LC:A549/ATCC,LC:NCI-H460,BR:MDA-MB-231/ATCC,LC:HOP-92
GENE10X,,0.03531,0.772,0.5558,-0.9664,0.482,0.212,-0.007969,-0.9364,-0.428,0.1455,-0.133,0.2436,-0.06547,-0.4042,-0.2383,-0.7155,0.612,-0.02703,2.402,-0.363,0.392,0.124,0.1558,-0.2473,0.2923,1.265,-0.02797,1.123,-2.043,0.1353,0.9514,-0.4167,0.3023,0.8745,0.5668,-0.1225,-0.858,0.2523,0.8823,,-1.147,-2.378,0.2961,1.354,-0.248,-0.7458,-0.588,-0.5103,0.8039,-0.658,0.001133,,-0.253,2.942,,-0.4562,,-6,0.372
GENE1100X,1.062,-0.4924,0.6043,0.378,2.746,0.2943,1.224,1.944,-0.8642,0.7143,0.04781,-0.3607,0.005859,0.8168,-0.352,-2.336,1.857,-1.296,0.4552,2.804,0.5092,1.074,-1.564,-1.652,-2.125,0.2545,-2.392,0.9743,-0.5951,,-0.1224,-1.246,-0.06445,-0.6154,-0.2732,0.4691,-0.0001953,-0.4057,-0.4054,-0.2954,,-0.3545,-0.3157,-0.1316,0.5564,,0.4265,0.5343,1.212,-1.324,1.234,0.9034,-1.153,-0.6908,-0.2555,1.264,-1.094,-3.034,1.112,0.4043
GENE1101X,0.3418,0.5473,0.5441,0.4478,-0.1944,-0.1359,-0.7459,-1.486,0.005586,0.8041,0.2576,-0.5309,0.1556,-0.2434,0.5978,1.914,-1.223,-0.2859,-0.175,1.274,1.719,1.834,3.246,1.498,-0.07531,0.4943,0.4373,-0.7059,1.145,0.4591,-0.5327,-1.137,-0.004687,0.5844,-0.1034,0.2388,1.04,1.264,0.8544,1.164,-0.9609,-1.465,-0.8659,-0.3519,0.01621,-0.06594,0.1663,-0.8959,-0.5383,-0.6141,-0.9259,0.2032,-1.563,0.199,-0.9057,0.6441,-0.2441,-3.164,-0.8878,-0.3359
GENE1102X,,-1.037,-0.3006,0.3831,0.3109,-0.000625,-0.2906,1.159,,0.1494,0.1629,-0.4056,0.3809,0.4419,-0.5069,-0.2609,0.9218,0.1594,-0.03969,2.039,0.9343,-0.3606,0.001367,0.5131,-3.31E-09,0.2796,-1.507,0.2394,0.77,-0.4156,-0.007344,0.5087,-1.079,0.5597,0.7119,0.2241,-0.4251,-0.6406,1.44,0.3597,1.914,-2.339,-1.341,0.5934,1.222,-0.2906,0.5416,-0.4906,-0.343,-0.8988,,-0.7215,-4.128,-0.4057,-2.26,-0.7806,-0.2688,0.0009375,-1.272,0.5894
GENE1103X,,,2.245,3.249,,0.025,0.285,1.105,-0.04348,1.305,-2.341,-0.83,0.8366,,-0.1113,-2.735,1.487,-0.675,-0.2841,1.945,-2.47,-1.455,-1.813,0.1487,0.2356,4.675,-2.062,-0.385,-3.724,0,1.448,-0.4356,1.016,3.305,3.527,2.91,0.03051,-0.115,-0.06469,1.345,-4.3,,,-0.2209,-0.4329,,,,-0.7773,0.6169,,-0.5759,,,1.265,,1.107,,-2.837,
GENE1104X,1.075,-0.4195,0.2573,0.391,-0.6312,0.4473,0.4373,0.03727,-2.491,0.05727,-1.809,-0.02773,-0.9412,-0.2602,0.241,1.797,,1.927,0.4382,0.5573,-0.1978,0.1073,-1.451,0.251,0.05789,0.0275,0.4805,-0.1627,0.6479,0.2223,-0.7095,0.6466,-0.3115,-0.3824,1.43,1.312,-0.7672,1.187,-0.4024,0.7376,-1.038,-1.051,,-0.09867,-0.5106,2.487,0.8695,,-0.4051,-1.031,-0.9427,-0.5436,0.3598,-3.728,-2.083,2.517,-0.8109,,-1.415,-0.1527
GENE1105X,,0.8777,0.8144,-0.1819,0.5959,-0.3756,-1.016,1.344,0.6959,-0.02562,-0.1721,0.4094,-0.09406,0.9669,0.1181,0.004062,0.07682,0.06438,0.4453,,1.109,0.6344,-0.7036,-0.4119,-0.435,0.4946,-0.1523,-1.506,1.015,-1.181,0.8277,1.004,0.1256,-1.045,-0.003125,0.08914,0.2599,-0.2956,-0.01531,0.9247,-1.331,0.8956,0.1844,1.328,2.447,-0.8756,-0.7534,-3.096,-1.328,-2.084,-0.3856,2.693,-1.023,,-0.6954,-1.026,,-1.074,-0.8475,0.2544
GENE1106X,,-1.341,0.6959,-0.1904,-0.7426,0.3359,-1.374,-0.3541,-0.7726,0.7059,0.01937,1.341,0.1774,1.838,-0.2404,1.346,-0.1717,0.9559,-0.1432,1.386,0.0008008,-0.1041,-0.4021,-0.05039,0.06648,1.466,-1.701,-0.5141,-0.3935,0.6409,-0.7709,0.4852,-0.1829,0.07617,-0.2316,-0.8294,-0.3986,1.226,0.5662,0.9862,1.701,-0.8229,,-0.9901,-0.242,-0.2541,1.008,0.3159,0.2035,-0.4223,,0.765,2.678,0.6208,-0.1139,-2.794,,,1.184,1.476
GENE1107X,,1.028,-0.595,-1.261,0.04656,0.045,1.335,-0.255,0.2465,-0.105,1.439,0,0.02656,-1.183,-0.2513,-0.2753,-1.253,0.315,0.6459,1.775,-0.09006,0.425,0.227,-0.00125,-0.2944,1.325,-0.7817,1.335,-0.5344,-1.38,0.2483,-0.6456,0.1862,0.4853,1.967,-0.2702,0.6505,-0.275,0.3653,1.155,-0.01,0.07625,0.045,0.5191,2.017,1.195,-0.6228,-0.805,-0.6673,-0.1731,-0.565,-0.2259,0.7975,-0.4201,0.5752,-0.725,-3.743,-1.153,1.383,-0.075
GENE1108X,-3.088,0.6577,0.004375,-0.1419,-1.374,-0.6656,-0.1456,0.1744,0.4059,0.06438,0.3979,-0.1906,-0.7441,0.06687,0.5381,1.054,0.1168,0.7144,-0.004688,-0.1956,-0.1207,0.4944,0.1764,-0.4019,-0.495,0.7946,0.6077,-0.1856,0.205,0.2294,0.9877,-0.1863,-0.3244,-0.01531,1.197,0.3191,0.3799,0.4444,-0.8853,0.4747,-0.5306,0.7556,0.1544,-0.2316,-0.6935,-0.6556,,,-0.178,-0.4038,0.2844,-0.7565,-1.053,-0.1907,-0.4854,-0.01563,-0.7038,0.1859,1.393,1.874
GENE1109X,0.5403,-0.5042,0.0425,1.396,-0.4459,0.2625,-0.0275,0.2125,0.184,1.773,-0.584,0.3975,2.544,1.505,1.366,0.3122,-0.1751,1.403,1.413,0.0325,-0.1226,-0.6275,0.1545,-0.4937,0.08313,0.1227,-1.824,-0.6075,-0.5769,0.0075,0.08578,-0.8581,-0.2862,0.1628,-1.565,0.6373,-0.05199,0.1825,-0.2272,-0.7972,-0.8425,-2.816,-6.317,1.347,1.205,-0.5975,0.1847,0.6925,0.3302,0.1244,-1.027,-0.7484,-1.105,-0.4926,-0.9273,-0.0075,-0.2857,-1.886,0.8606,-1.838
GENE110X,-1.131,-0.2551,-0.1884,-0.1046,-0.3268,0.6416,-0.4984,0.4216,0.05316,-0.1884,-0.1748,0.09664,0.2632,-0.5059,-0.1846,-0.2687,1.004,1.332,-0.2774,,-0.08342,1.182,0.2136,0.3154,1.182,0.06188,0.9649,-0.3584,1.262,1.887,-0.3651,0.001016,-0.1371,1.352,0.1341,-0.04359,-0.8229,,0.05195,0.922,0.6466,-0.4371,-0.5784,0.3557,1.014,-0.6884,0.1638,-0.1284,-0.5007,-0.3865,-0.04836,0.0007422,-1.746,-0.7634,0.6219,1.022,0.1534,-1.627,0.06977,1.682
GENE1110X,,2.298,1.714,-0.1019,1.826,1.754,2.614,0.8044,-1.154,-1.366,,-1.931,1.036,-0.06312,-2.652,0.004062,-2.063,1.644,-0.1847,,-1.551,-0.9256,-2.684,0.1781,-1.065,0.9546,,0.2644,-1.965,,0.9277,,-0.03437,-1.315,-0.01313,-0.2109,2.42,3.544,0.8747,-1.005,1.919,,,-2.192,-0.6335,1.804,0.3266,1.474,-0.408,0.3962,2.084,-0.7665,0.03687,-0.0006836,2.385,,-0.2438,6.026,-0.3275,-1.726
GENE1111X,-3.512,-0.8767,-1.54,,-2.068,2.04,-0.73,1.94,3.672,1.67,1.964,,,-1.448,,0.1597,,0,-0.6091,,,-0.35,,-3.426,0.8806,-0.5898,0.8633,0.92,1.991,1.645,,,5.781,-0.6497,,,-2.134,-0.8,-0.3097,0.7103,-0.425,1.951,3.53,,1.432,,0.1222,-1.04,-1.022,,6.43,-0.4709,,0.9649,,0.47,,-1.708,,-1.18
GENE1112X,0.6556,,,0.1116,,0.08781,-0.4522,,-1.551,-0.4722,0.5213,,0.5694,,-1.078,-0.3925,-4.31,0.1278,1.049,,1.043,,,-0.2584,0.7984,-0.382,0.8711,-3.112,,3.543,,,,-0.1619,,-0.4574,2.633,-1.842,1.048,,-3.217,-0.5009,-0.3122,-0.08812,,-3.402,0.39,2.268,-1.415,4.03,4.318,0.2769,3.9,,1.778,,-1.06,,,-2.192
GENE1113X,0.6345,-0.66,0.1867,-0.3696,-0.08176,0.4367,-0.2733,0.4367,-0.001797,-1.163,-0.9498,0.07168,0.3282,-1.071,-1.15,0.05637,-0.7109,-0.01332,0.7576,-1.373,0.07162,-0.3333,-1.231,-0.3596,-1.193,-0.1831,-0.84,0.1067,0.2273,-0.6183,-1.73,0.5261,-1.772,0.557,0.2192,0.6114,0.002187,-0.01332,0.787,-0.133,0.01168,0.4279,0.3067,-0.09926,0.1588,1.297,0.6789,0.06668,-0.4957,0.4186,-1.293,-0.2342,0.7892,0.4416,-0.1631,0.2567,0.04848,1.308,-0.005195,-0.5433
GENE1114X,,0.5615,-0.5918,-0.328,-0.02023,0.1282,-0.1518,0.6582,0.1997,0.6482,-0.1383,-0.3368,-0.5802,0.2807,0.282,0.4379,-0.3094,1.288,0.4291,1.948,0.9631,0.2882,0.0001953,-0.06805,0.3388,0.6784,0.5515,0.1982,-0.1212,-1.237,0.1415,-2.482,0.9895,0.1285,1.091,0.313,0.3437,0.5282,0.7685,-0.1015,2.573,-1.471,-0.7918,-0.007734,0.5504,-0.0718,-0.01961,-0.1618,-0.3341,-0.5499,-1.992,-0.9927,-1.459,0.5431,,-0.5518,-0.02,,-0.9837,-0.9318
GENE1115X,0.5659,0.2614,-0.1618,0.7219,-0.0002734,0.4882,0.6582,1.738,-0.5503,-1.022,0.03168,-1.527,0.02973,0.1907,-1.148,-1.012,-0.3894,-0.7918,0.2891,0.01816,-0.4869,0.2182,0.0001562,0.8319,0.2488,1.898,0.2314,-0.1518,-0.1912,1.283,1.241,-0.3325,-0.8406,0.5285,0.2107,-0.5071,0.003672,-0.5618,-1.752,1.628,-0.5768,-0.6106,-0.5418,-0.1478,0.6303,1.028,-0.1496,-0.5618,0.3758,0.55,-0.7218,0.5473,-0.2193,-0.3369,-0.4516,-1.922,-0.11,0.8197,-0.05371,0.3382
GENE1116X,,-1.169,-0.3925,-1.069,-0.3509,-0.2525,-0.5325,0.2375,-1.351,0.7075,-0.489,-1.017,0.009062,1.24,-0.1587,1.327,0.1699,0.2675,0.2184,0.6175,1.502,-2.642,-0.2505,-0.00875,-0.1319,-0.1323,-0.4692,0.0275,0.6081,1.213,0.7408,-1.293,,1.228,1.59,1.192,-1.357,-0.6025,-0.1122,1.428,,0.07875,-0.7925,0.5216,0.4596,0.2675,0.1897,0.3975,-0.2348,-1.131,-0.9325,-1.253,0.23,,-1.272,0.7975,-0.9207,,,1.297
GENE1117X,-0.1572,-0.3617,0.075,0.04875,1.247,-0.075,-0.045,0.885,0.8765,0.035,-0.1415,-0.78,1.517,1.167,-1.481,-0.9353,-0.2026,-0.575,0.1259,-0.615,-0.3101,-0.895,0.397,0.9587,0.1556,,0.2383,-0.875,-0.05438,0.82,0.6183,-0.1256,0.4762,0.7053,1.007,-0.4502,-1.159,-0.035,1.045,2.105,,-1.674,-1.895,-0.1409,0.6871,-0.575,0.6472,0.415,-0.2573,-0.1331,-0.745,-0.3259,0.3275,0.4699,1.175,-1.615,-0.2032,2.407,1.053,2.575
GENE1118X,,-0.06734,-1.411,-0.9869,0.2309,0.1194,2.599,0.6294,2.051,-3.521,0.8029,-1.376,-0.2691,1.192,-1.827,-3.181,-0.5882,-1.161,0.2403,,-1.276,0.1094,-0.6386,-0.1569,-3.33E-09,5.2,-0.3973,0.03937,-1.53,-2.356,-0.4773,-0.3613,-0.9694,0.9797,1.652,0.1441,4.885,-0.2406,-0.0003125,1.82,3.244,-5.329,-1.691,-0.4566,,-1.921,0.8616,1.569,0.917,3.001,1.919,0.4385,3.862,-0.3957,,0.5994,3.311,,2.198,-2.531
GENE1119X,-0.5022,0.5733,-0.88,-0.1463,1.182,1.1,3.56,1.14,-4.018,-0.75,-0.3565,-1.855,-1.038,-1.328,-1.496,-1.45,0.5524,-1.2,0.3209,5.24E-12,-0.2751,-0.61,-0.288,-0.07625,-0.4694,5.49,0.7233,-0.44,0.4106,-0.225,0.5133,-0.000625,-0.2488,-0.9597,-0.3175,1.135,5.516,3.41,-0.7297,2.74,3.915,-2.189,-1.73,0.1241,1.412,-1.76,1.472,2.26,1.898,3.812,2.35,1.439,4.672,-1.215,0.08023,1.27,4.212,,2.958,-1.71
GENE111X,,-0.5073,-0.02062,-0.6569,-2.959,0.5494,0.4394,0.3394,0.1809,0.2094,-0.4371,-0.5356,-0.5291,-0.1981,0.1931,-1.251,-0.2682,-1.641,0.3703,4.689,-2.116,0.3994,0.1214,0.04312,-0.53,1.8,0.9127,-1.831,-0.03,1.414,1.943,-0.5013,,-1.27,-0.4681,0.4841,-1.165,0.6294,-0.6203,0.5297,,0.02063,-1.051,0.2034,-0.7285,0.8394,-1.568,0.3594,-0.793,0.6312,,,1.162,-0.5857,,,-0.5988,0.5009,,1.359
GENE1120X,0.6437,0.06922,-0.2841,-0.5803,-1.162,-0.9941,-0.4941,0.8359,1.307,-0.1341,0.9495,-0.8191,0.2475,-0.001562,-0.6003,-0.1744,0.5384,0.3159,0.2969,-0.5941,0.8609,0.4959,0.2779,-0.2003,-0.4534,0.3662,0.2492,-0.1641,0.3766,-0.2191,0.05922,0.6453,0.8772,1.356,0.7984,0.6107,-0.02855,-0.03406,-0.2138,0.2062,0.4109,1.227,1.406,1.35,0.8981,-0.1141,-1.242,-0.05406,0.2536,-1.682,-0.8941,-0.975,-1.122,0.0008789,-1.244,0.2859,-0.4423,-0.0025,-0.9659,-1.174
GENE1121X,2.032,-0.4427,-1.146,-1.452,0.8256,0.5241,0.9441,0.6941,0.1156,-0.2659,-0.08242,-0.02094,0.1256,0.9166,0.7378,0.9937,1.167,-0.1759,0.445,0.3441,-0.421,-0.2559,-2.164,-0.7422,-0.9853,-1.906,-2.643,2.724,4.075,0.6591,-2.243,-3.267,-1.725,0.07438,-0.3634,-1.251,-0.7204,-0.5159,-1.476,-0.9556,-0.4309,0.9153,0.6141,1.078,0.4662,-0.9659,0.4763,0.7541,0.02172,1.146,-0.6959,-0.2768,-0.03344,0.349,0.2243,0.6941,-2.214,-3.844,1.062,1.154
GENE1122X,,0.08578,0.0125,-0.5737,-1.446,0.2125,-0.0175,1.312,-0.576,0.5925,-1.414,-0.0125,0.02406,0.645,-0.4438,,0.08494,0.8525,0.4434,-1.187,-0.5226,-0.3875,-1.516,-0.2338,-0.7069,1.213,,-1.238,-0.2069,,0.4058,-0.1481,0.2038,-0.2372,4.355,0.3473,0.308,2.433,0.1528,-0.4572,2.868,,1.453,-0.5734,0.5846,0.0725,0.7247,0.6025,-0.4698,-0.6456,-2.707,-1.368,,-0.1626,-0.1073,-1.708,,,0.3206,2.032
GENE1123X,,-1.787,0.81,-0.01625,-0.2784,-0.42,-0.86,-0.76,-1.568,2.44,-0.2365,1.825,1.692,0.0925,-0.5063,0.2397,1.952,0.86,0.7609,,2.555,-0.75,-0.488,0.4637,1.261,0.4602,,0.62,0.6806,-0.425,1.743,5.409,1.731,0.0003125,-0.2875,0.9048,1.506,0.82,1.45,0.2303,-0.025,-1.629,,-0.8559,-1.008,-0.65,0.9322,,-1.052,0.02187,-3.61,0.3991,-2.038,-0.7851,-0.4098,,-1.168,-0.6184,-1.942,
GENE1124X,,-0.5872,-0.5505,-0.2167,0.5611,-0.2305,,-0.04047,1.591,-0.7305,-0.977,-0.7255,0.2211,-0.408,-1.037,-0.5308,0.712,0.9495,0.1905,0.3395,1.664,-0.1405,-1.038,-0.3767,-0.2298,-0.0002344,-5.397,-0.6905,0.3602,1.125,0.2428,0.6689,0.3108,0.8298,0.502,0.5743,0.315,0.1495,0.3198,0.2598,2.435,-0.9992,2.12,-0.08641,0.3117,0.07953,0.7217,,-0.5628,-0.08859,-1.56,-0.4814,,-0.6555,-0.1102,,,,2.288,-3.87
GENE1125X,0.8215,,0.09375,-1.002,,1.154,0.6237,-0.5063,0.4253,-0.3262,-0.4327,4.569,-0.4747,3.496,0.3275,,-2.004,2.014,0.2147,-0.7762,-0.3413,-0.2162,-1.044,-0.0425,0.1244,0.204,,0.2037,-2.126,-0.6212,0.827,-0.4469,0.615,0.5541,-0.2037,0.3685,0.2793,0.4438,-0.4959,0.6841,-0.3912,,2.694,-0.2522,-0.004102,0.00375,,,0.9114,-0.6144,-1.986,-0.9371,1.526,-1.241,,2.974,,-3.415,-1.638,
GENE1126X,,-0.7092,0.3075,-0.7487,-1.201,-0.5525,-0.1625,-0.0825,1.419,-0.8625,-0.979,-0.0075,0.3491,1.03,0.3213,-3.573,-1.79,0.6375,0.1284,-2.222,-0.4576,-2.212,-0.6505,0.2113,-0.05187,0.2477,1.801,-0.0825,0.3181,-3.367,1.201,-0.04312,1.079,2.598,0.48,2.272,0.253,-0.7425,1.048,0.8578,-0.1675,0.4288,-0.4525,-0.2484,-0.0003516,-0.1525,0.2497,2.238,2.955,-1.171,1.608,-0.7634,-0.56,1.122,-0.6323,0.9675,-0.6007,0.1991,1.456,1.797
GENE1127X,,-1.102,,-0.3819,3.306,0.6244,-0.3056,0.7844,-0.2341,0.2044,0.2179,-1.351,-0.01406,0.1069,-4.342,-0.3759,,-0.4156,-0.5547,,1.639,0.8344,-0.2836,0.5181,0.595,0.3446,-4.002,0.3244,-0.645,0.1594,-1.642,-0.9363,0.5456,-0.1253,1.247,0.2791,-0.5501,0.6244,-0.4453,-0.5053,,0.1856,0.01438,-0.2216,0.3365,1.004,1.617,,0.632,0.3562,0.3144,-0.7565,-0.8931,-2.431,-0.09539,,-1.084,-2.374,0.8825,
GENE1128X,-1.327,0.119,,-1.201,-0.5427,-0.6643,-0.5943,-0.6443,,2.646,4.589,3.611,1.947,-0.2818,-2.541,3.825,-0.2919,2.356,1.157,-2.264,-0.7794,-0.4043,,-0.1405,-0.2137,-2.034,,3.566,0.4363,-2.979,2.949,0.03508,-0.293,-1.654,-0.3418,-0.1295,-0.2788,-1.634,0.536,-0.003984,1.471,3.507,3.256,-0.02023,3.348,-0.1543,0.8779,2.346,0.8934,-0.2624,1.506,0.004805,2.558,3.551,0.4959,-4.234,1.527,4.297,,
GENE1129X,-1.901,0.2245,,2.955,-1.417,-0.9987,,,-0.04723,-1.699,0.4148,-1.484,0.7928,-0.4562,0.065,0.0009375,0.9037,-0.3987,-0.3778,1.951,0.3762,2.671,-2.087,0.135,-0.2081,-1.619,0.1245,0.5112,0.7419,,-0.4355,0.2706,,2.262,,2.246,-3.223,-3.559,1.432,-0.1684,0.3863,,2.411,1.035,,-0.3887,,,-0.1411,0.05313,,0.6204,-0.4562,-0.6638,0.1715,-0.5688,-2.627,,-0.03062,
GENE112X,0.9878,0.4333,0.75,0.5837,0.5616,0.88,1.2,0.34,-2.098,-0.75,-0.5565,-0.735,0.5316,-1.618,-0.04625,-1.23,0.1224,0,0.5709,-2.69,-1.135,-1.14,-0.628,,-0.5294,-1.57,-0.8567,-0.44,-0.7994,1.895,-1.707,-2.421,-1.009,-2.14,-0.2175,0.9548,-0.07449,0.3,-1.21,-0.9097,-0.125,-1.199,-1.8,0.3841,0.4221,0.6,0.2822,0.28,0.6077,0.4719,0.97,1.639,0.5425,0.03494,-0.3198,0.74,0.2618,-1.208,0.1581,1.76
GENE1130X,-0.2622,0.5633,-0.42,1.444,1.012,1.98,2.39,3.55,-0.8885,-0.68,0.07352,1.765,-0.6384,0.2925,-0.6563,-0.9003,-0.7876,-0.45,1.511,2.8,-0.6351,-1.11,-1.858,-0.2863,-1.319,-2.06,-1.817,-0.05,-0.9094,-0.565,-0.7467,-2.591,-2.409,-0.6397,-0.6975,-0.03523,0.4255,1.6,0.7903,0.9103,2.045,0.1913,1.11E-08,-1.366,-1.418,1.11,1.892,1.05,-0.9323,0.2619,2.34,1.929,2.752,0.9249,,0.33,,,3.048,2.9
GENE1131X,0.4673,-0.9372,0.1395,2.183,1.021,0.6895,0.5495,0.05953,2.031,-1.15,0.04305,,-0.7989,-1.118,0.5233,-0.5908,-0.008027,-0.3205,-1.38,0.3195,-0.1255,0.7995,,-3.037,-0.5798,0.8898,-0.6372,-0.06047,,,-0.1372,1.229,-0.7792,0.1498,0.742,-2.006,0.825,-2.03,0.2798,-1.91,3.905,-0.8092,0.009531,0.4436,0.3317,-1.81,,0.1095,0.7272,-0.07859,,-0.9214,-2.968,4.284,,0.6995,-0.6687,,-0.4923,-0.4105
GENE1132X,2.724,-1.7,-0.8933,-0.07957,-2.002,-0.07332,-0.1333,0.2867,-0.8318,0.5267,0.1802,-0.5783,-0.1618,-1.651,-0.9096,1.086,2.379,0.06668,0.5776,,0.001621,0.9867,-1.391,0.03043,0.0173,0.9369,0.26,0.2567,0.2873,1.102,-0.28,0.2461,0.04793,-0.05301,1.429,-0.1986,-0.7078,-0.01332,0.897,-0.153,,1.468,-2.293,-0.04926,-0.001172,2.957,2.649,-0.2333,0.09434,1.449,-0.6533,-0.9242,0.3192,-1.808,-1.643,,0.2285,,-0.2252,-0.2633
GENE1133X,1.107,-0.5473,0.4794,-0.8469,,0.09938,-0.9806,0.3994,-1.169,4.599,0.1829,-0.2256,-1.969,0.5419,0.1531,1.019,0.1818,1.189,0.8703,,0.6243,-0.5106,-0.6986,-0.2369,0.02,0.3496,2.013,0.1594,-0.02,-0.4456,-0.4773,-1.201,0.4106,1.61,-0.1381,0.6441,-0.5551,0.09938,-0.6403,-0.05031,4.614,0.2706,-0.4206,-0.1366,0.4415,-0.3306,-0.6384,-1.821,-1.103,0.1812,0.4194,-1.012,,3.064,1.55,-0.1406,-0.7388,-1.939,,-1.651
GENE1134X,,-3.958,0.9988,-0.3675,0.1903,0.3788,0.2787,0.3987,1.47,0.03875,-0.3677,-1.876,0.8803,-2.329,,-2.692,2.811,-0.1212,0.7097,0.4088,0.4337,0.3688,-1.299,-0.0375,-0.3806,-0.861,2.872,-0.6213,0.05938,2.554,0.932,0.03813,-0.39,-0.08094,0.2613,1.484,-0.2957,,-0.5909,1.039,,-0.84,,0.6928,0.5209,0.9988,2.521,-2.161,-0.3236,-0.4294,,-1.042,-0.06875,0.6837,,-3.521,-1.579,,-0.4331,-3.861
GENE1135X,0.4109,0.8864,0.7931,-0.1831,-0.5753,0.5131,0.06312,0.03312,-0.3754,-0.1469,-0.9934,0.2081,-0.3053,-0.07437,-0.3731,0.2328,2.436,1.353,0.7841,-0.3369,1.808,-0.7169,0.2351,-0.03312,-0.7062,-0.6766,-0.3236,-0.5369,-0.5962,0.04813,0.4764,-0.9675,-0.5756,0.3234,0.08563,-0.4121,-0.8514,-0.2669,-0.04656,-1.167,0.4381,0.3944,0.1931,-0.6028,0.2453,-0.1869,1.115,1.113,1.131,1.005,-0.4969,-0.8878,1.116,0.4481,0.4634,-1.067,0.2049,-0.1753,-0.4587,0.7431
GENE1136X,,1.343,-0.99,-0.6362,,-0.29,-0.25,0,0.5515,1.32,0.3235,-0.325,0.07156,-0.0475,-1.186,,1.032,1.16,-0.05906,,0.4549,-0.17,-1.738,-0.1062,0.4506,-0.5798,-1.007,0.15,-0.2094,,-0.3967,-0.3406,0.5913,0.2203,0.8125,-0.2252,-0.3145,0.61,-0.08969,0.6203,2.145,-0.4087,,0.1941,-0.3679,0.23,0.06219,4.77,0.4077,-1.008,0.26,-0.9909,-0.9375,0.3449,0.4702,,-1.238,-1.308,2.178,0.42
GENE1137X,,3.438,0.685,-2.051,,1.065,2.995,-2.655,2.907,1.005,1.909,2.83,-0.7034,0.7075,2.129,1.835,,-0.435,0.3159,,-5.06,-3.355,,-1.741,-1.234,-2.085,,-0.875,-2.004,0,0.7083,1.534,-0.6738,3.325,2.107,-1.34,-1.289,-2.755,0.1553,-1.315,,0.6062,1.285,-0.4109,-2.683,-3.785,4.567,3.765,4.363,-4.083,-2.315,3.054,,-1.25,3.735,,-1.663,-0.8934,-1.997,3.355
GENE1138X,0.005586,2.151,-1.482,1.762,1.839,1.308,0.3578,-0.3022,-1.831,1.418,-0.06867,-0.7872,0.04937,2.64,0.03156,,,-0.3722,-0.1813,,-0.2372,-0.7022,-0.9002,-0.3584,0.4184,0.178,-1.249,0.06781,-0.4616,-0.2372,-0.008906,-0.1228,0.3691,0.02813,1.96,-1.087,-1.297,-1.332,-0.5019,-0.3619,0.2728,,,-0.6781,0.6,1.668,0,1.438,-0.1645,0.3297,0.8478,-1.143,0.0003125,,0.728,1.828,-0.7204,-0.6606,1.836,
GENE1139X,,0.4145,-0.5787,-0.205,,-0.3987,-0.1588,2.201,1.733,0.6013,-0.5352,-0.3937,-0.1572,0.6238,0.065,0.1609,2.064,1.541,-0.2778,4.251,1.706,0.04125,-0.8668,-0.295,0.4419,0.06148,1.585,-0.8588,-1.748,4.246,-0.4455,-0.3294,-0.0375,-0.6184,0.7738,-0.694,0.04676,0.3413,-0.03844,0.02156,1.526,,,0.05531,0.0434,0.09125,0.7334,,-0.02109,-1.007,-2.319,-0.7896,-2.436,0.5762,-1.829,-0.9588,,,,-2.569
GENE113X,,-0.03672,0,-0.4862,-3.208,0.14,-0.23,0.17,0.06152,0.39,-0.1865,-0.285,0.05156,0.6225,-0.2263,-0.06031,1.012,-0.84,0.1609,0.27,-0.2051,0.49,0.07199,0.00375,0.4406,0.5602,2.233,-0.12,0.6306,3.115,0.2033,-0.6806,-0.1787,0.1503,-0.5275,0.03477,-0.6045,0.02,-0.1597,1.52,,1.021,-3.04,-0.06594,-0.01785,0.89,-0.3078,-0.84,-0.9723,-0.2081,,,,0.2049,1.14,-1.23,-0.7482,0.4416,-0.3119,-0.75
GENE1140X,0.325,-0.1995,-0.06281,0.1009,-0.02125,-1.643,-0.9128,0.9972,0.8887,1.177,0.5407,1.302,0.1187,0.02969,0.3309,1.627,0.3496,-0.3528,1.038,-0.08281,-2.048,-0.6028,-1.881,-1.989,-0.1422,1.437,0.9605,-0.4228,-0.07219,-0.01781,0.2505,-1.153,-2.212,-2.942,-2.18,0.322,0.2527,-1.173,0.3975,0.0175,-0.4178,1.068,0.8572,-0.05875,-0.6007,0.2972,0.3794,-0.5728,-0.2352,-0.5509,1.157,-0.7437,0.6997,0.1421,-0.2626,0.2172,-0.871,0.2887,-0.6147,1.357
